Categoría: Judaísmo

Semana,Geo: Portugal
2018-12-30,51
2019-01-06,58
2019-01-13,54
2019-01-20,62
2019-01-27,64
2019-02-03,55
2019-02-10,66
2019-02-17,71
2019-02-24,61
2019-03-03,57
2019-03-10,59
2019-03-17,67
2019-03-24,59
2019-03-31,58
2019-04-07,59
2019-04-14,61
2019-04-21,58
2019-04-28,58
2019-05-05,61
2019-05-12,58
2019-05-19,59
2019-05-26,68
2019-06-02,69
2019-06-09,66
2019-06-16,65
2019-06-23,61
2019-06-30,60
2019-07-07,66
2019-07-14,59
2019-07-21,54
2019-07-28,58
2019-08-04,62
2019-08-11,60
2019-08-18,63
2019-08-25,64
2019-09-01,58
2019-09-08,68
2019-09-15,68
2019-09-22,65
2019-09-29,70
2019-10-06,66
2019-10-13,62
2019-10-20,61
2019-10-27,67
2019-11-03,59
2019-11-10,71
2019-11-17,66
2019-11-24,69
2019-12-01,59
2019-12-08,60
2019-12-15,65
2019-12-22,66
2019-12-29,81
2020-01-05,72
2020-01-12,70
2020-01-19,75
2020-01-26,77
2020-02-02,66
2020-02-09,70
2020-02-16,67
2020-02-23,69
2020-03-01,72
2020-03-08,79
2020-03-15,67
2020-03-22,87
2020-03-29,69
2020-04-05,100
