Categoría: Ciencias ocultas y paranormales

Día,Geo: Portugal
2019-12-30,41
2019-12-31,43
2020-01-01,38
2020-01-02,41
2020-01-03,51
2020-01-04,50
2020-01-05,49
2020-01-06,41
2020-01-07,40
2020-01-08,46
2020-01-09,39
2020-01-10,39
2020-01-11,44
2020-01-12,40
2020-01-13,45
2020-01-14,44
2020-01-15,40
2020-01-16,40
2020-01-17,39
2020-01-18,57
2020-01-19,50
2020-01-20,38
2020-01-21,41
2020-01-22,44
2020-01-23,46
2020-01-24,36
2020-01-25,52
2020-01-26,48
2020-01-27,43
2020-01-28,44
2020-01-29,47
2020-01-30,40
2020-01-31,44
2020-02-01,45
2020-02-02,39
2020-02-03,38
2020-02-04,38
2020-02-05,43
2020-02-06,46
2020-02-07,42
2020-02-08,42
2020-02-09,45
2020-02-10,40
2020-02-11,49
2020-02-12,42
2020-02-13,55
2020-02-14,43
2020-02-15,45
2020-02-16,49
2020-02-17,51
2020-02-18,49
2020-02-19,42
2020-02-20,48
2020-02-21,42
2020-02-22,43
2020-02-23,37
2020-02-24,43
2020-02-25,37
2020-02-26,44
2020-02-27,44
2020-02-28,41
2020-02-29,45
2020-03-01,55
2020-03-02,41
2020-03-03,39
2020-03-04,38
2020-03-05,42
2020-03-06,45
2020-03-07,46
2020-03-08,47
2020-03-09,41
2020-03-10,44
2020-03-11,41
2020-03-12,40
2020-03-13,48
2020-03-14,51
2020-03-15,97
2020-03-16,100
2020-03-17,79
2020-03-18,58
2020-03-19,69
2020-03-20,70
2020-03-21,63
2020-03-22,57
2020-03-23,53
2020-03-24,54
2020-03-25,51
2020-03-26,52
2020-03-27,53
2020-03-28,62
2020-03-29,74
2020-03-30,67
2020-03-31,54
2020-04-01,49
2020-04-02,52
2020-04-03,46
2020-04-04,54
2020-04-05,66
2020-04-06,62
2020-04-07,57
