Categoría: Ciencias ocultas y paranormales

Día,Geo: Reino Unido
2019-12-30,55
2019-12-31,54
2020-01-01,67
2020-01-02,61
2020-01-03,61
2020-01-04,64
2020-01-05,65
2020-01-06,53
2020-01-07,56
2020-01-08,53
2020-01-09,56
2020-01-10,58
2020-01-11,67
2020-01-12,64
2020-01-13,50
2020-01-14,52
2020-01-15,54
2020-01-16,52
2020-01-17,53
2020-01-18,61
2020-01-19,66
2020-01-20,57
2020-01-21,53
2020-01-22,57
2020-01-23,54
2020-01-24,56
2020-01-25,62
2020-01-26,64
2020-01-27,53
2020-01-28,47
2020-01-29,47
2020-01-30,51
2020-01-31,53
2020-02-01,54
2020-02-02,58
2020-02-03,47
2020-02-04,49
2020-02-05,48
2020-02-06,49
2020-02-07,47
2020-02-08,54
2020-02-09,59
2020-02-10,51
2020-02-11,50
2020-02-12,52
2020-02-13,57
2020-02-14,56
2020-02-15,66
2020-02-16,67
2020-02-17,52
2020-02-18,57
2020-02-19,54
2020-02-20,56
2020-02-21,59
2020-02-22,61
2020-02-23,66
2020-02-24,55
2020-02-25,52
2020-02-26,51
2020-02-27,52
2020-02-28,57
2020-02-29,65
2020-03-01,62
2020-03-02,54
2020-03-03,52
2020-03-04,49
2020-03-05,52
2020-03-06,53
2020-03-07,58
2020-03-08,62
2020-03-09,52
2020-03-10,52
2020-03-11,51
2020-03-12,50
2020-03-13,53
2020-03-14,65
2020-03-15,66
2020-03-16,52
2020-03-17,53
2020-03-18,60
2020-03-19,63
2020-03-20,60
2020-03-21,71
2020-03-22,72
2020-03-23,54
2020-03-24,56
2020-03-25,57
2020-03-26,61
2020-03-27,66
2020-03-28,72
2020-03-29,76
2020-03-30,63
2020-03-31,63
2020-04-01,66
2020-04-02,70
2020-04-03,63
2020-04-04,77
2020-04-05,71
2020-04-06,75
2020-04-07,100
