Categoría: Escépticos y no creyentes

Semana,Geo: Austria
2018-12-30,68
2019-01-06,74
2019-01-13,84
2019-01-20,87
2019-01-27,88
2019-02-03,71
2019-02-10,69
2019-02-17,65
2019-02-24,84
2019-03-03,100
2019-03-10,75
2019-03-17,71
2019-03-24,74
2019-03-31,68
2019-04-07,70
2019-04-14,65
2019-04-21,62
2019-04-28,64
2019-05-05,75
2019-05-12,68
2019-05-19,61
2019-05-26,67
2019-06-02,67
2019-06-09,61
2019-06-16,68
2019-06-23,59
2019-06-30,52
2019-07-07,45
2019-07-14,57
2019-07-21,49
2019-07-28,51
2019-08-04,51
2019-08-11,50
2019-08-18,56
2019-08-25,58
2019-09-01,53
2019-09-08,58
2019-09-15,59
2019-09-22,60
2019-09-29,65
2019-10-06,72
2019-10-13,71
2019-10-20,71
2019-10-27,66
2019-11-03,72
2019-11-10,73
2019-11-17,72
2019-11-24,68
2019-12-01,66
2019-12-08,72
2019-12-15,63
2019-12-22,57
2019-12-29,64
2020-01-05,75
2020-01-12,77
2020-01-19,88
2020-01-26,83
2020-02-02,80
2020-02-09,65
2020-02-16,67
2020-02-23,67
2020-03-01,75
2020-03-08,60
2020-03-15,68
2020-03-22,80
2020-03-29,70
2020-04-05,64
